libqt5network5/stable,now 5.11.3+dfsg1-1+deb10u2 amd64 [installed,upgradable to: 5.11.3+dfsg1-1+deb10u3]
libqt5widgets5/stable,now 5.11.3+dfsg1-1+deb10u2 amd64 [installed,upgradable to: 5.11.3+dfsg1-1+deb10u3]
libseccomp2/stable,now 2.3.3-4 amd64 [installed]
libselinux1/stable,now 2.8-1+b1 amd64 [installed]
libsemanage-common/stable,now 2.8-2 all [installed]
libsemanage1/stable,now 2.8-2 amd64 [installed]
libsepol1/stable,now 2.8-1 amd64 [installed]
libslang2/stable,now 2.3.2-2 amd64 [installed]
libsmartcols1/stable,now 2.33.1-0.1 amd64 [installed]
libss2/stable,now 1.44.5-1+deb10u3 amd64 [installed]
libssl1.1/stable,now 1.1.1d-0+deb10u2 amd64 [installed,upgradable to: 1.1.1d-0+deb10u3]
libstdc++6/stable,now 8.3.0-6 amd64 [installed]
libsystemd0/stable,now 241-7~deb10u3 amd64 [installed]
libtasn1-6/stable,now 4.13-3 amd64 [installed]
libtext-charwidth-perl/stable,now 0.04-7.1+b1 amd64 [installed]
libtext-iconv-perl/stable,now 1.7-5+b7 amd64 [installed]
libtext-wrapi18n-perl/stable,now 0.06-7.1 all [installed]
libtinfo6/stable,now 6.1+20181013-2+deb10u2 amd64 [installed]
libudev1/stable,now 241-7~deb10u3 amd64 [installed]
libunistring2/stable,now 0.9.10-1 amd64 [installed]
libuuid1/stable,now 2.33.1-0.1 amd64 [installed]
libxcb1-dev/stable,now 1.13.1-2 amd64 [installed]
libxtables12/stable,now 1.8.2-4 amd64 [installed]
libzstd1/stable,now 1.3.8+dfsg-3 amd64 [installed]
linux-base/stable,now 4.6 all [installed]
linux-compiler-gcc-8-x86/stable,now 4.19.98-1 amd64 [installed,upgradable to: 4.19.98-1+deb10u1]
linux-headers-4.19.0-8-amd64/stable,now 4.19.98-1 amd64 [installed,upgradable to: 4.19.98-1+deb10u1]
linux-headers-4.19.0-8-common/stable,now 4.19.98-1 all [installed,upgradable to: 4.19.98-1+deb10u1]
linux-image-4.19.0-8-amd64/stable,now 4.19.98-1 amd64 [installed,upgradable to: 4.19.98-1+deb10u1]
linux-image-amd64/stable,now 4.19+105+deb10u3 amd64 [installed]
linux-kbuild-4.19/stable,now 4.19.98-1 amd64 [installed,upgradable to: 4.19.98-1+deb10u1]
linux-libc-dev/stable,now 4.19.98-1 amd64 [installed,upgradable to: 4.19.98-1+deb10u1]
live-task-localisation/stable,now 0.7 all [installed]
live-task-recommended/stable,now 0.7 all [installed]
locales/stable,now 2.28-10 all [installed]
login/stable,now 1:4.5-1.1 amd64 [installed]
logrotate/stable,now 3.14.0-4 amd64 [installed]
lsb-base/stable,now 10.2019051400 all [installed]
lsof/stable,now 4.91+dfsg-1 amd64 [installed]
man-db/stable,now 2.8.5-2 amd64 [installed]
manpages/stable,now 4.16-2 all [installed]
mawk/stable,now 1.3.3-17+b3 amd64 [installed]
mime-support/stable,now 3.62 all [installed]
mount/stable,now 2.33.1-0.1 amd64 [installed]
